match,match_string,match_number,team,opponent,system,player,number,position,total_distance,zone_1,zone_2,zone_3,zone_4,zone_5,high_speed_runs,sprints,top_speed,possession_build_width,possession_build_height,possession_build_distance,possession_progression_width,possession_progression_height,possession_progression_distance,possession_third_width,possession_third_height,possession_third_distance,defensive_high_width,defensive_high_height,defensive_high_distance,defensive_mid_width,defensive_mid_height,defensive_mid_distance,defensive_low_width,defensive_low_height,defensive_low_distance
Germany 1 - 2 Japan,Germany_Japan,11,Germany,Japan,4231,SUELE Niklas,15,FB,10642.5,4054.8,4685.9,1063.2,629,209.7,108,48,32.7,59,40,21,56,32,43,43,34,57,40,37,49,37,27,39,35,29,16
Spain 1 - 1 Germany,Germany_Spain,28,Germany,Spain,4231,SUELE Niklas,15,CD,10261.2,3531.9,4732.4,1263.1,514.1,219.6,109,40,31.7,56,39,17,50,29,42,42,34,54,43,37,50,40,24,41,35,22,17
Korea Republic 2 - 3 Ghana,Ghana_Korea Republic,30,Ghana,Korea Republic,4231,ABDUL SAMED Salis,21,CM,11962.5,3258.6,5635.5,2256.1,699.8,112.4,196,57,29.4,53,35,21,54,32,41,45,35,53,41,39,47,36,29,36,35,26,15
Korea Republic 2 - 3 Ghana,Ghana_Korea Republic,30,Ghana,Korea Republic,4231,AMARTEY Daniel,18,CD,9795.1,3745.7,4506.7,1100,363.4,78.4,100,27,31.1,53,35,21,54,32,41,45,35,53,41,39,47,36,29,36,35,26,15
Ghana 0 - 2 Uruguay,Ghana_Uruguay,45,Ghana,Uruguay,4231,AMARTEY Daniel,18,CD,9832.5,3994,4212.3,962.6,418.9,244.8,89,32,33.2,50,39,17,51,32,44,42,35,55,36,38,47,36,30,36,35,28,17
Ghana 0 - 2 Uruguay,Ghana_Uruguay,45,Ghana,Uruguay,4231,KUDUS Mohammed,20,FW,10051.5,3841.7,4090,1197.1,629.2,293.5,111,59,32.4,50,39,17,51,32,44,42,35,55,36,38,47,36,30,36,35,28,17
Korea Republic 2 - 3 Ghana,Ghana_Korea Republic,30,Ghana,Korea Republic,4231,PARTEY Thomas,5,CM,11259.1,3483.6,5596.9,1521.1,537.1,119.3,134,36,32.1,53,35,21,54,32,41,45,35,53,41,39,47,36,29,36,35,26,15
Ghana 0 - 2 Uruguay,Ghana_Uruguay,45,Ghana,Uruguay,4231,PARTEY Thomas,5,CM,10877.1,3803.7,4840.3,1581.5,552.6,97.9,130,38,29,50,39,17,51,32,44,42,35,55,36,38,47,36,30,36,35,28,17
Ghana 0 - 2 Uruguay,Ghana_Uruguay,45,Ghana,Uruguay,4231,RAHMAN Baba,17,FB,10464.3,3585.1,4115.6,1605.2,858.1,300.3,128,63,34.1,50,39,17,51,32,44,42,35,55,36,38,47,36,30,36,35,28,17
Korea Republic 2 - 3 Ghana,Ghana_Korea Republic,30,Ghana,Korea Republic,4231,SALISU Mohammed,4,CD,9634.8,4454.2,3754.7,866.2,387.3,172.5,87,32,30.1,53,35,21,54,32,41,45,35,53,41,39,47,36,29,36,35,26,15
Ghana 0 - 2 Uruguay,Ghana_Uruguay,45,Ghana,Uruguay,4231,SALISU Mohammed,4,CD,9954.8,4833,3257.2,1107,497.7,259.8,94,36,31.1,50,39,17,51,32,44,42,35,55,36,38,47,36,30,36,35,28,17
Ghana 0 - 2 Uruguay,Ghana_Uruguay,45,Ghana,Uruguay,4231,SEIDU Alidu,26,FB,10187.2,4042.3,3982.2,1153.2,633.6,375.9,111,56,34.2,50,39,17,51,32,44,42,35,55,36,38,47,36,30,36,35,28,17
Korea Republic 2 - 3 Ghana,Ghana_Korea Republic,30,Ghana,Korea Republic,4231,WILLIAMS Inaki,19,WG,10433.3,3866.6,3824.8,1526.4,706.3,509.1,129,56,34,53,35,21,54,32,41,45,35,53,41,39,47,36,29,36,35,26,15
IR Iran 0 - 1 USA,IR Iran_USA,34,IR Iran,USA,442,EZATOLAHI Saeid,6,CM,11659,4208.9,5297.9,1608.9,518.8,23.3,128,36,26.9,51,41,19,55,33,41,47,35,53,41,40,46,38,29,35,38,27,19
IR Iran 0 - 1 USA,IR Iran_USA,34,IR Iran,USA,442,HOSSEINI Majid,19,CD,10193.7,3932.7,4828.8,937.8,377.2,117.2,93,30,29.8,51,41,19,55,33,41,47,35,53,41,40,46,38,29,35,38,27,19
IR Iran 0 - 1 USA,IR Iran_USA,34,IR Iran,USA,442,POURALIGANJI Morteza,8,CD,10599.4,3820,4551.4,1435.2,558.6,234.2,122,41,30.8,51,41,19,55,33,41,47,35,53,41,40,46,38,29,35,38,27,19
IR Iran 0 - 1 USA,IR Iran_USA,34,IR Iran,USA,442,REZAEIAN Ramin,23,FB,12004,3756.1,5440.2,1528.1,935.1,344.5,138,71,32.4,51,41,19,55,33,41,47,35,53,41,40,46,38,29,35,38,27,19
IR Iran 0 - 1 USA,IR Iran_USA,34,IR Iran,USA,442,TAREMI Mehdi,9,FW,11861.2,3889.3,5237.9,1430.5,978.5,323.8,134,67,32.3,51,41,19,55,33,41,47,35,53,41,40,46,38,29,35,38,27,19
Japan 1 - 1 Croatia,Japan_Croatia,53,Japan,Croatia,343,ENDO Wataru,6,CM,13652.3,4726.4,6493,1833.5,512,90.1,165,45,28.6,54,37,20,56,33,42,46,36,54,42,36,48,42,25,38,37,22,21
Japan 2 - 1 Spain,Japan_Spain,43,Japan,Spain,343,ITAKURA Kou,4,CD,9677.5,3768.4,4659.7,853.6,326.1,69.7,78,31,31.5,45,33,19,57,31,36,44,34,55,45,35,50,46,20,38,40,17,21
Japan 1 - 1 Croatia,Japan_Croatia,53,Japan,Croatia,343,ITO Junya,14,FB,12463.5,4933.1,5110,1338.6,694.2,386.4,132,57,31.4,54,37,20,56,33,42,46,36,54,42,36,48,42,25,38,37,22,21
Japan 2 - 1 Spain,Japan_Spain,43,Japan,Spain,343,ITO Junya,14,FB,9262.4,3784.6,3957.8,886.4,444.6,189,87,38,34.1,45,33,19,57,31,36,44,34,55,45,35,50,46,20,38,40,17,21
Japan 1 - 1 Croatia,Japan_Croatia,53,Japan,Croatia,343,MORITA Hidemasa,13,CM,12683.5,3627.5,6114.7,2048.4,778.8,114.2,175,53,30.8,54,37,20,56,33,42,46,36,54,42,36,48,42,25,38,37,22,21
Japan 2 - 1 Spain,Japan_Spain,43,Japan,Spain,343,MORITA Hidemasa,13,CM,12657,2764.3,7247.4,1889.7,678.4,77.2,159,55,29.1,45,33,19,57,31,36,44,34,55,45,35,50,46,20,38,40,17,21
Japan 1 - 1 Croatia,Japan_Croatia,53,Japan,Croatia,343,TANIGUCHI Shogo,3,CD,12020.5,5091.9,5664,887.1,317.3,60.1,86,26,28.3,54,37,20,56,33,42,46,36,54,42,36,48,42,25,38,37,22,21
Japan 2 - 1 Spain,Japan_Spain,43,Japan,Spain,343,TANIGUCHI Shogo,3,CD,10520.2,3525.3,5640.9,889,372.4,91.5,88,31,28.7,45,33,19,57,31,36,44,34,55,45,35,50,46,20,38,40,17,21
Japan 1 - 1 Croatia,Japan_Croatia,53,Japan,Croatia,343,TOMIYASU Takehiro,16,CD,13113.2,4729.9,6278.6,1506.7,469.5,128.5,138,41,31.7,54,37,20,56,33,42,46,36,54,42,36,48,42,25,38,37,22,21
Japan 1 - 1 Croatia,Japan_Croatia,53,Japan,Croatia,343,YOSHIDA Maya,22,CD,11521.4,5304.5,4930,951.7,183.2,150.9,89,21,30.9,54,37,20,56,33,42,46,36,54,42,36,48,42,25,38,37,22,21
Japan 2 - 1 Spain,Japan_Spain,43,Japan,Spain,343,YOSHIDA Maya,22,CD,10251.4,3664.9,5376.9,903.1,267.6,39,85,24,31,45,33,19,57,31,36,44,34,55,45,35,50,46,20,38,40,17,21
